source,name,price,description
Instinct Roastery,Candy Apple Espresso Roast - Instinct Roastery - 200 gram,Rp195.000,"50% Toraja Washed - 20% Colombia Sequoias Watermelon - 30% Flores Natural A little fun we have on the roastery when we stumble on this sample on our cupping table We thought, ""What if we make a blend that tastes like candy and apple at the same time?"" And just like that, this blend is made out of a combination we've never thought before With our Toraja Pango-Pango Washed as our base, we give a combination with Flores Natural which enhances the sweetness and mouthfeel together with toraja, and the colombia sequoias added that fun with notes that has two layers, apple and also watermelon notes This blend will give you a sense of eating fruit candy A little gift from us to you, Merry Christmas!"
Instinct Roastery,Ethiopia Tima Washed - Instinct Roastery - 150 gram,Rp185.000,Region : Guji Process : Washed Variety : 74110 Altitude : 2150 masl This Ethiopia flaunts its light body and this tima we bring Tima with sweeter notes that reminds you of peach Guji has been constantly be the region that produces complex and high quality Ethiopian coffee The condition of its terroir and also high altitude which revolves around 2000-2150 masl creating a slow process of ripe cherry which also resulting in complex and delicate flavor This is for you who looks for light bodied coffee with notes of peach and layer of bergamot with that classic floral notes of Ethiopia
Instinct Roastery,Espresso Roast Kenya Tatu - Instinct Roastery - 200 gram,Rp195.000,"Process : Natural Region : Kiambu County Farm : Tatu Estate Variety : SL28 & SL34 Releasing espresso roast has been nothing but a joy for us. Offering you different kind of flavor spectrum for your daily espresso is our goals in through this platform This time we bring you Natural Kenyan coffee from Tatu Estate. Tatu Estate is a part of Kofinaf Company, a historical and big producer of coffee in Kenya. It has its own record of consistently bringing good coffee on your cupping table and furthermore this Natural processed coffee, less known in Kenya where most of them are washed, is bringing something unique yet excellent in its juiciness and sweetness This is a balanced cup of espresso in its fruitiness that reminds you of red fruits like currant and pomegranate yet sweetness that taste caramelish"
Instinct Roastery,Ethiopia Sidama Baturo - Instinct Roastery - 150 gram,Rp220.000,"Process : Anaerobic Natural Variety : 74158 Region : Sidama Farm : Karamo Washing Station A little subjective personal description on this beans as one of our team usually do not enjoy anaerobic natural beans and on her first sip, it is just an entirely different texture and experience for her This beans has our hearts on its first roast with such delicate texture and orange spectrum that reminds you of tangerine with layers of stonefruit that reminds you of nectarine and closed with that taste of oolong tea This is juicy yet tea-like, perfect for any time of the day"
Instinct Roastery,Colombia Eliecer Ordóñez - Instinct Roastery - 150 gram,Rp175.000,"Process : Washed Variety : Pink Bourbon Region : Huila Farm : El Placer Owned by Pastor Ordóñez, Finca El Placer has been known for growing Caturra and Pink Bourbon varieties as its highlight. Located in the region of Huila, Colombia, this farm is known for its micro-lots rather than bulk commercial lots El Placer is a part of Associacion Los Naranjos, a community of small producers that has strict and careful procedures in processing its coffee, resulting in consistency of high quality coffee This Colombia has been nothing but a joy ever since we cup it in our cupping table, and we are delighted to present it for you to try. This coffee has balanced quality with red currant in the spotlight on your first sip, layers of pomelo bright acidity and wrapped with sugarcane mellow sweetness"
Instinct Roastery,Burundi Kayanza Natural - Instinct Roastery - 150 gram,Rp185.000,"Process : Natural Variety : Bourbon Farm : Long Miles Region : Kayanza A connection built from last year to Osito brought us to this new region from Ethiopia to our shelf. We love when connections bring us a lot of excitements and new things to explore together A first time for us to exhibit Burundi Region coffee beans and it doesn't disappoint the littlest bit This Burundi is sourced from Long Miles coffee farm, a renowned coffee farm that develops washing station mainly on Burundi. With transparancy and hard work, Long Miles has been known for its quality in specialty coffee industry This is for you who wants that juiciness of purple fruits with hint of chocolate liquor adding to its sweetness"
Instinct Roastery,Caramel Floral - Instinct Roastery Espresso Blend - 200 gram,Rp190.000,"Toraja Pango-Pango Washed - Ethiopia Washed The moment we cupped the samples from the Toraja a few months ago, we knew how the quality of the flavor that this Toraja gives is just beautiful We knew how a lot of you also longs for another espresso blend from us so here we are presenting you with such collaboration This Toraja gives you beautiful caramel-ish sweetness that has very round quality and also smooth at the same time, then comes the acidity, citrusy acidity coming from the Ethiopian Washed which creates such harmonious flavor making this a balanced espresso blend with sweetness but also that elegant aromatic quality"
Instinct Roastery,Toraja Pango-Pango Washed - Instinct Roastery - 200 gram,Rp180.000,"Variety : S-Lini, Bourbon Process : Washed Region : Tana Toraja Farm : Aluk Coffee Altitude : 1600 masl This local beans captured our heart on the cupping table when we sample this. We feel a little excitement of adding another region of Indonesia to our shelf. This classic washed Toraja from Pango-Pango gives its charm with its clean finish, cheery bright citrusy acidity that reminds you of lemon, topped with acidity of stonefruit that gives balance to the lemon ish acidity, and sweetness that wraps it off like honey"
Instinct Roastery,Ethiopia Sidama Karama Washed - Instinct Roastery - 200 gram,Rp195.000,"Region : Bura Karamo Altitude : 2200 masl Process : Washed Variety : Heirloom A big big smile in our roastery team upon cupping this Ethiopian classic washed process We always know that a lot of you excited when we release any Ethiopian beans, we also always aim for giving you varieties of Ethiopian beans This beautiful classic washed boasts about its refined acidity of mandarin orange, with layers of bergamot and what makes this beans even more excellent is the fact that it has sweetness that reminds you of sugarcane Purchase this if you want to find yourself sipping light refined cup of acidity with touch of balanced sweetness"
Instinct Roastery,"Apparel - Instinct Roastery T-Shirt - Putih, S",Rp280.000,"A collective creation from our brand An exciting beginning of our craft journey as we collaborate with Aye & Co to celebrate a creation between crafts : - A t-shirt that is easy for you to wear daily, equipped with a technique to make you look neat and clean - A hoodie to warm up with comfortable materials that is still comfortable to wear in tropical climate - A denim jacket with sleek cutting and highlights of our logo that's perfect for layering your casual t-shirt or formal shirt PLEASE NOTE! Refer to our size chart before buying, and please do re-check your choice of colors in t-shirt as we have three different colors"
Instinct Roastery,Bali Berry - Instinct Roastery - 200 gram,Rp180.000,"Seasonal Espresso Blend for you! A creation from one of our Roastery Team, an idea to highlight our components for wholesale beans which hasn't come to spotlight to many This blend is based on our Bali Karana, a CM Natural beans that has been on our line-up for years Partnered up with Bali, we go with the favorite Blueberry Apple, the Aceh Blend, and topping it off with Brazil This blend is for you who loves a balanced coffee, with notes of chocolate and fruitiness"
Instinct Roastery,Brewing Tools - Instinct Roastery - Instinct Server,Rp295.000,"Brewing tools for catering your brewing experience Each product has its own box that suit its measurement and wrapped with bubble wrap inside Please note that we apply insurance for these products and we pack it with extra bubble wrap on the outer surface as well INSTINCT SERVER Our server comes in 500ml with a nice touch of Instinct logo on one side This server is made out of borosilicate glass that is heatproof Our tools come with a box that is made perfectly for its measurement Safe for dishwasher TUMBLER GLASS Our glass comes in 250ml with a nice touch of Instinct logo on one side This glass is made out of borosilicate glass that is heatproof Our tools come with a box that is made perfectly for its measurement Safe for dishwasher ORIGAMI DRIPPER CERAMIC S Our version of Origami Dripper comes with our logo on its body This beautifully made dripper comes in two colors, matte grey and white We suggest you to buy it in bundles with the holder as it is a soulmate in heaven Safe for dishwasher ORIGAMI DRIPPER HOLDER Our holder comes in two choices as well We recommend you to pair the white one with white one, and the grey one with white splash black one This holder is NOT SAFE for dishwasher, please wash it by hand ORIGAMI ASYMMETRIC CUP BLACK This cup offers you two sides of coffee One side offers clarity with more acidity and lighter mouthfeel, the other side offers you with bolder mouthfeel and more sweetness Safe for dishwasher ORIGAMI PAPER FILTER WAVE FOR 4CUPS This paper filter is made for bigger size of Origami Dripper up to 4 cups A box contains 50 pcs of paper filter ORIGAMI PAPER FILTER WAVE FOR 2CUPS This paper filter is made for bigger size of Origami Dripper up to 2 cups A box contains 50 pcs of paper filter"
Instinct Roastery,P Blend - Instinct Roastery - Biji Kopi - 200 gram,Rp180.000,"*PLEASE NOTE BEFORE BUYING!* Untuk permintaan digiling menjadi bubuk kopi, mohon cantumkan di bagian notes karena jika tidak kami akan mengirimkan dalam bentuk biji kopi utuh Terima kasih P for Premium Blend ( Darker Roast Instinct Version ) A blend made for people who love big-bodied coffee with low acidity, yet still has the strong character and flavor of specialty coffee Using 100% Arabica specialty grade coffee Suitable for milk, or classic espresso taste / kopi susu."
